Concurso;Data;1a;2a;3a;4a;5a;6a;Ganhadores;Prêmio;Apostas
2795;09/11/2024;13;16;33;43;46;55;1;201963763.26;41492019
2794;07/11/2024;3;9;14;20;28;52;0;0;28746707
2793;05/11/2024;7;9;25;37;57;59;0;0;27902771
2792;01/11/2024;16;22;33;34;49;59;0;0;28071913
2791;29/10/2024;2;3;11;25;37;43;0;0;17939263
2790;26/10/2024;29;32;40;42;49;58;0;0;17375011
2789;24/10/2024;3;17;18;19;20;55;0;0;12050239
2788;22/10/2024;23;37;39;47;52;56;0;0;12075492
2787;19/10/2024;8;10;23;34;36;50;0;0;15211544
2786;16/10/2024;6;11;17;20;40;51;0;0;13309222
2785;11/10/2024;20;27;48;50;57;59;0;0;11669504
2784;08/10/2024;27;30;35;44;57;59;0;0;5454275
2783;05/10/2024;7;30;38;39;43;54;1;52087219.71;14589877
2782;03/10/2024;6;11;16;25;28;45;0;0;10862996
2781;01/10/2024;10;31;35;45;50;55;0;0;10517335
2780;28/09/2024;7;9;10;14;46;53;0;0;11303115
2779;26/09/2024;14;19;32;44;51;54;0;0;7130899
2778;24/09/2024;20;33;34;40;43;57;0;0;6545609
2777;21/09/2024;2;13;21;38;42;52;0;0;6856866
2776;19/09/2024;5;17;22;37;51;52;0;0;4967699
2775;17/09/2024;1;4;14;26;44;51;1;81473638.46;14767015
2774;14/09/2024;6;16;22;24;38;50;0;0;13855750
2773;12/09/2024;19;23;32;34;38;57;0;0;11542558
2772;10/09/2024;1;12;33;41;53;56;0;0;11464716
2771;06/09/2024;7;13;14;33;38;50;0;0;12281260
2770;03/09/2024;21;28;37;44;50;60;0;0;8900861
2769;31/08/2024;10;16;35;46;49;60;0;0;8659102
2768;29/08/2024;2;12;18;28;32;33;0;0;5829490
2767;27/08/2024;14;21;42;47;50;59;0;0;5216132
2766;24/08/2024;9;10;34;36;38;44;2;14946866.27;10982060
2765;22/08/2024;8;12;34;39;43;47;0;0;8164980
2764;20/08/2024;20;31;34;38;42;51;1;62156999.34;12482925
2763;17/08/2024;15;16;19;43;44;49;0;0;13572200
2762;15/08/2024;1;17;30;40;48;50;0;0;11053467
2761;13/08/2024;3;22;34;44;49;57;0;0;10367854
2760;10/08/2024;8;11;19;39;47;48;0;0;11619515
2759;08/08/2024;3;10;38;40;48;59;0;0;8355687
2758;06/08/2024;19;35;36;37;41;60;0;0;7421974
2757;03/08/2024;1;21;37;40;51;54;0;0;7967357
2756;01/08/2024;1;6;13;18;43;46;0;0;5449152
2755;30/07/2024;7;13;17;33;41;58;3;34222694.19;16557351
2754;27/07/2024;10;14;44;55;56;58;0;0;15760642
2753;25/07/2024;6;26;31;46;52;55;0;0;12193229
2752;23/07/2024;4;15;24;40;44;47;0;0;11651763
2751;20/07/2024;4;13;18;42;52;53;0;0;12688688
2750;18/07/2024;7;11;12;19;36;52;0;0;10216699
2749;16/07/2024;8;25;27;38;43;44;0;0;8687168
2748;13/07/2024;19;32;43;46;50;52;0;0;11450855
2747;10/07/2024;14;17;24;28;36;45;0;0;8476399
2746;06/07/2024;22;27;30;43;51;56;0;0;7706013
2745;04/07/2024;2;5;7;11;52;57;3;54262775.07;25173694
2744;02/07/2024;10;25;26;33;34;38;0;0;19398983
2743;29/06/2024;13;25;27;30;37;53;0;0;20545479
2742;27/06/2024;2;11;25;32;37;57;0;0;15996111
2741;25/06/2024;1;33;35;39;42;56;0;0;13861364
2740;22/06/2024;13;16;17;34;41;47;0;0;14412275
2739;20/06/2024;19;25;37;45;47;53;0;0;11214034
2738;18/06/2024;2;19;25;44;46;60;0;0;10870651
2737;15/06/2024;16;20;30;34;37;45;0;0;12315850
2736;13/06/2024;11;17;24;26;35;43;0;0;9502467
2735;11/06/2024;5;33;46;47;53;59;0;0;8856037
2734;08/06/2024;21;27;35;48;59;60;1;114104458.33;23508602
2733;06/06/2024;14;20;21;39;44;56;0;0;19142945
2732;04/06/2024;1;03;16;18;49;60;0;0;16727895
